iter	RMSE
0	0.03139628355
1	0.03117814075
2	0.03097282544
3	0.03077385576
4	0.03058696289
5	0.03041038163
6	0.03023946568
7	0.03007544428
8	0.02991719476
9	0.02976211367
10	0.02961776373
11	0.02947542932
12	0.02934083474
13	0.02921712498
14	0.02908877372
15	0.0289677261
16	0.02885521129
17	0.02874584417
18	0.02864033153
19	0.0285460503
20	0.02845184513
21	0.02835872333
22	0.02826883104
23	0.02817832137
24	0.02809384159
25	0.0280156012
26	0.0279329678
27	0.02785836253
28	0.02778774732
29	0.02772069057
30	0.02765668679
31	0.0275964208
32	0.02753741038
33	0.02747742754
34	0.02742491927
35	0.02737110109
36	0.02732024252
37	0.02727186154
38	0.02722183343
39	0.02717535629
40	0.02713302089
41	0.02709095595
42	0.02704924896
43	0.02700852144
44	0.02696987366
45	0.02693506503
46	0.02690038077
47	0.02686556015
48	0.02683172388
49	0.02680079495
50	0.02677189164
51	0.02674318434
52	0.02671699843
53	0.02669214454
54	0.02666743144
55	0.02664119051
56	0.02661929667
57	0.02659719887
58	0.02657574902
59	0.02655391921
60	0.0265318506
61	0.02651085647
62	0.02649188897
63	0.02647442853
64	0.02645770573
65	0.02644233222
66	0.02642489886
67	0.02640919884
68	0.02639479515
69	0.02637942286
70	0.02636522451
71	0.02635150663
72	0.02633793261
73	0.02632573864
74	0.02631404426
75	0.02630236563
76	0.02629093277
77	0.02628009326
78	0.02626970694
79	0.02625851576
80	0.02624874773
81	0.02623835029
82	0.02622739145
83	0.02621880164
84	0.02620978176
85	0.0262001395
86	0.02619151622
87	0.02618333183
88	0.02617557457
89	0.02616770927
90	0.02616020309
91	0.02615327973
92	0.02614672326
93	0.02614001188
94	0.02613362688
95	0.02612750051
96	0.02612180999
97	0.02611573845
98	0.02610949167
99	0.02610227436
100	0.02609737387
101	0.02609178029
102	0.02608618257
103	0.02608118665
104	0.02607532872
105	0.02606987037
106	0.02606353912
107	0.02605866965
108	0.02605464441
109	0.02604906477
110	0.02604404171
111	0.02603893516
112	0.02603546291
113	0.02603151006
114	0.02602655558
115	0.02602261941
116	0.02601927167
117	0.02601494722
118	0.02601022716
119	0.02600686199
120	0.02600214193
121	0.02599858846
122	0.02599486676
123	0.02599044048
124	0.02598729936
125	0.02598369092
126	0.0259813258
127	0.02597754382
128	0.02597455693
129	0.02597208767
130	0.0259681522
131	0.02596373908
132	0.02596151875
133	0.02595973745
134	0.02595757068
135	0.02595254297
136	0.02594854482
137	0.02594557271
138	0.0259423133
139	0.02593879161
140	0.02593719492
141	0.02593536462
142	0.02593273126
143	0.02592916245
144	0.02592756615
145	0.02592529462
146	0.0259214703
147	0.02591871769
148	0.025915089
149	0.02591079496
150	0.0259074806
151	0.02590389321
152	0.02590132644
153	0.02589816
154	0.02589577204
155	0.02589367896
156	0.02589083281
157	0.02588723951
158	0.02588400124
159	0.025881811
160	0.02587977308
161	0.02587724464
162	0.02587549508
163	0.02587244872
164	0.02587014394
165	0.02586763787
166	0.02586480905
167	0.02586314978
168	0.02586163801
169	0.02586067205
170	0.02585915309
171	0.02585819367
172	0.02585698601
173	0.02585566044
174	0.02585241237
175	0.02584903491
176	0.02584704794
177	0.025844266
178	0.02584110533
179	0.02583895229
180	0.02583638418
181	0.02583280906
182	0.02583019468
183	0.02582853449
184	0.02582548777
185	0.02582327171
186	0.02582080776
187	0.0258196086
188	0.02581672933
189	0.0258138897
190	0.02581126628
191	0.02580913602
192	0.02580698728
193	0.02580396896
194	0.02580274205
195	0.02580127949
196	0.02580012884
197	0.02579819376
198	0.02579694835
199	0.02579569567
200	0.02579340675
201	0.02579035688
202	0.02578900796
203	0.02578824963
204	0.02578558642
205	0.02578428084
206	0.02578213259
207	0.02577951623
208	0.0257783148
209	0.02577712316
210	0.02577524754
211	0.02577408748
212	0.02577014507
213	0.02576781569
214	0.02576577887
215	0.025764328
216	0.02576288634
217	0.02575950152
218	0.02575707816
219	0.02575639892
220	0.02575431392
221	0.02575172113
222	0.02574965158
223	0.0257480763
224	0.02574655416
225	0.02574313034
226	0.02574064285
227	0.0257396935
228	0.02573849937
229	0.02573727187
230	0.02573585085
231	0.02573447911
232	0.02573141818
233	0.02572923318
234	0.02572712783
235	0.0257249282
236	0.02572377544
237	0.02572190609
238	0.02572078058
239	0.02571908315
240	0.02571721051
241	0.02571462978
242	0.02571392252
243	0.02571292612
244	0.02571094912
245	0.0257103506
246	0.02570802945
247	0.02570586049
248	0.02570474445
249	0.02570198324
250	0.0257011165
251	0.02569928928
252	0.02569743672
253	0.02569586988
254	0.02569310154
255	0.0256912442
256	0.02568917483
257	0.02568838419
258	0.02568582374
259	0.02568466806
260	0.02568290726
261	0.02568225253
262	0.02568121057
263	0.02567891394
264	0.02567610182
265	0.02567352911
266	0.02567022544
267	0.02566771933
268	0.02566622311
269	0.02566487857
270	0.02566413217
271	0.02566133672
272	0.02565891647
273	0.0256550958
274	0.02565458276
275	0.02565235591
276	0.02564940477
277	0.02564861771
278	0.02564793419
279	0.02564490767
280	0.02564283843
281	0.02564134209
282	0.0256398288
283	0.02563884631
284	0.02563722694
285	0.02563619333
286	0.02563492297
287	0.02563396636
288	0.02563059159
289	0.02562901638
290	0.0256283957
291	0.02562723299
292	0.02562403899
293	0.02562187646
294	0.02561988882
295	0.02561915217
296	0.02561567057
297	0.02561442828
298	0.02561398663
299	0.02561304495
300	0.02561048784
301	0.02560961636
302	0.02560736685
303	0.02560620824
304	0.02560481594
305	0.02560304842
306	0.02560089016
307	0.02559833933
308	0.02559747924
309	0.02559674691
310	0.02559558609
311	0.02559338878
312	0.02559266994
313	0.02559156248
314	0.02558830319
315	0.02558449672
316	0.02558327809
317	0.02558191682
318	0.02558092039
319	0.02558024257
320	0.02557782714
321	0.02557570158
322	0.02557417894
323	0.02557336926
324	0.02557227249
325	0.02557029501
326	0.02556751065
327	0.02556661548
328	0.02556614715
329	0.02556365224
330	0.02556046747
331	0.02555812083
332	0.02555656354
333	0.02555390031
334	0.02555312413
335	0.0255526982
336	0.02554944315
337	0.02554647326
338	0.02554569603
339	0.02554499976
340	0.02554201505
341	0.02553953204
342	0.02553866199
343	0.02553773025
344	0.02553602011
345	0.02553363687
346	0.02553263854
347	0.02553199285
348	0.02552959003
349	0.02552685463
350	0.02552609681
351	0.02552420696
352	0.02552244592
353	0.02551888826
354	0.02551717598
355	0.02551441007
356	0.02551136499
357	0.0255092389
358	0.02550729981
359	0.02550444851
360	0.02550190013
361	0.02549926842
362	0.025498333
363	0.02549683986
364	0.02549462518
365	0.02549278492
366	0.02549063611
367	0.02548989326
368	0.02548929443
369	0.02548542605
370	0.02548301531
371	0.02548111593
372	0.02548059077
373	0.02547686302
374	0.02547589303
375	0.02547418334
376	0.02547071393
377	0.02546953468
378	0.02546634178
379	0.02546341779
380	0.02546009387
381	0.02545883878
382	0.02545664745
383	0.02545519174
384	0.02545348158
385	0.02545064152
386	0.02544969777
387	0.02544845905
388	0.0254465544
389	0.02544532073
390	0.02544275115
391	0.02544059672
392	0.02543858061
393	0.02543548342
394	0.02543300876
395	0.02543153277
396	0.02543033016
397	0.02542987998
398	0.02542927446
399	0.02542827235
400	0.02542705011
401	0.02542668475
402	0.02542534279
403	0.02542350155
404	0.02542310466
405	0.0254222198
406	0.02542133694
407	0.02541902363
408	0.02541718496
409	0.02541666572
410	0.0254158709
411	0.02541547123
412	0.02541358486
413	0.02541206912
414	0.02541105787
415	0.02540782365
